label,message
ham,Let's go for lunch today.
spam,This is your final notice. Pay now to avoid penalty.
ham,Did you finish the report?
ham,Let's go for lunch today.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,"Hey, are we still meeting today?"
ham,Can we reschedule our meeting?
spam,URGENT! Your account has been suspended. Verify immediately.
ham,"Hey, are we still meeting today?"
spam,Limited-time offer! Buy now and get 50% off.
ham,I will send the file shortly.
spam,This is your final notice. Pay now to avoid penalty.
ham,Did you finish the report?
ham,I'll be there in 10 minutes.
spam,Win a free iPhone today! Click the link.
ham,Please call me when you are free.
spam,Get rich fast! Join our program now.
spam,Win a free iPhone today! Click the link.
spam,Win a free iPhone today! Click the link.
spam,This is your final notice. Pay now to avoid penalty.
spam,Congratulations! You've won a free gift voucher. Click the link to claim.
ham,Did you finish the report?
spam,Congratulations! You've won a free gift voucher. Click the link to claim.
spam,URGENT! Your account has been suspended. Verify immediately.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,Please call me when you are free.
spam,Exclusive deal just for you. Act now!
ham,Let's catch up tomorrow.
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
spam,Win a free iPhone today! Click the link.
ham,Don't forget to bring the documents.
ham,Can we reschedule our meeting?
ham,Please call me when you are free.
ham,Please call me when you are free.
ham,I'll be there in 10 minutes.
spam,Get rich fast! Join our program now.
spam,You have been selected for a cash prize! Reply YES to win.
spam,Get rich fast! Join our program now.
ham,I'll be there in 10 minutes.
spam,Your loan is approved. Contact us immediately.
spam,Get rich fast! Join our program now.
ham,I'll be there in 10 minutes.
spam,Claim your free vacation now! Click here.
ham,Meeting postponed to 3 PM.
ham,Let's catch up tomorrow.
spam,Your loan is approved. Contact us immediately.
ham,Let's catch up tomorrow.
spam,Congratulations! You've won a free gift voucher. Click the link to claim.
spam,Get rich fast! Join our program now.
spam,Limited-time offer! Buy now and get 50% off.
spam,You have been selected for a cash prize! Reply YES to win.
spam,Exclusive deal just for you. Act now!
spam,This is your final notice. Pay now to avoid penalty.
spam,Your loan is approved. Contact us immediately.
ham,Let's catch up tomorrow.
ham,I'll be there in 10 minutes.
ham,Let's catch up tomorrow.
ham,Please call me when you are free.
spam,Exclusive deal just for you. Act now!
spam,You have been selected for a cash prize! Reply YES to win.
ham,Let's go for lunch today.
spam,Your loan is approved. Contact us immediately.
spam,Your loan is approved. Contact us immediately.
spam,Get rich fast! Join our program now.
ham,Can we reschedule our meeting?
spam,This is your final notice. Pay now to avoid penalty.
ham,Don't forget to bring the documents.
ham,"Hey, are we still meeting today?"
ham,Meeting postponed to 3 PM.
spam,Exclusive deal just for you. Act now!
spam,Claim your free vacation now! Click here.
spam,URGENT! Your account has been suspended. Verify immediately.
spam,Win a free iPhone today! Click the link.
ham,Meeting postponed to 3 PM.
ham,Please call me when you are free.
ham,Let's go for lunch today.
ham,Meeting postponed to 3 PM.
ham,Let's catch up tomorrow.
spam,Get rich fast! Join our program now.
spam,Congratulations! You've won a free gift voucher. Click the link to claim.
spam,Limited-time offer! Buy now and get 50% off.
ham,Meeting postponed to 3 PM.
ham,Please call me when you are free.
spam,URGENT! Your account has been suspended. Verify immediately.
spam,Exclusive deal just for you. Act now!
spam,You have been selected for a cash prize! Reply YES to win.
ham,"Hey, are we still meeting today?"
ham,Can we reschedule our meeting?
ham,I'll be there in 10 minutes.
ham,Please call me when you are free.
spam,Exclusive deal just for you. Act now!
spam,Claim your free vacation now! Click here.
ham,"Hey, are we still meeting today?"
spam,Claim your free vacation now! Click here.
spam,Congratulations! You've won a free gift voucher. Click the link to claim.
ham,Don't forget to bring the documents.
spam,Win a free iPhone today! Click the link.
spam,Get rich fast! Join our program now.
spam,Limited-time offer! Buy now and get 50% off.
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
ham,I will send the file shortly.
ham,Can we reschedule our meeting?
spam,This is your final notice. Pay now to avoid penalty.
ham,Can we reschedule our meeting?
ham,Let's catch up tomorrow.
spam,Limited-time offer! Buy now and get 50% off.
ham,Meeting postponed to 3 PM.
ham,Don't forget to bring the documents.
ham,Meeting postponed to 3 PM.
ham,I will send the file shortly.
ham,Can we reschedule our meeting?
spam,Congratulations! You've won a free gift voucher. Click the link to claim.
ham,I will send the file shortly.
ham,Meeting postponed to 3 PM.
ham,Let's go for lunch today.
spam,Get rich fast! Join our program now.
spam,You have been selected for a cash prize! Reply YES to win.
ham,Let's catch up tomorrow.
ham,I'll be there in 10 minutes.
spam,Win a free iPhone today! Click the link.
spam,Limited-time offer! Buy now and get 50% off.
spam,Your loan is approved. Contact us immediately.
ham,Don't forget to bring the documents.
spam,Limited-time offer! Buy now and get 50% off.
ham,Can we reschedule our meeting?
spam,Exclusive deal just for you. Act now!
spam,Get rich fast! Join our program now.
spam,Your loan is approved. Contact us immediately.
spam,Claim your free vacation now! Click here.
ham,Let's go for lunch today.
ham,Did you finish the report?
ham,Let's catch up tomorrow.
ham,Can we reschedule our meeting?
ham,I will send the file shortly.
ham,Don't forget to bring the documents.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,"Hey, are we still meeting today?"
ham,I'll be there in 10 minutes.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,Meeting postponed to 3 PM.
spam,You have been selected for a cash prize! Reply YES to win.
spam,Claim your free vacation now! Click here.
ham,Don't forget to bring the documents.
spam,Congratulations! You've won a free gift voucher. Click the link to claim.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,Don't forget to bring the documents.
spam,Win a free iPhone today! Click the link.
spam,You have been selected for a cash prize! Reply YES to win.
spam,Exclusive deal just for you. Act now!
ham,Can we reschedule our meeting?
spam,You have been selected for a cash prize! Reply YES to win.
spam,Get rich fast! Join our program now.
spam,Win a free iPhone today! Click the link.
spam,Your loan is approved. Contact us immediately.
ham,Did you finish the report?
ham,"Hey, are we still meeting today?"
ham,Did you finish the report?
spam,Your loan is approved. Contact us immediately.
ham,Let's catch up tomorrow.
ham,Don't forget to bring the documents.
spam,This is your final notice. Pay now to avoid penalty.
spam,You have been selected for a cash prize! Reply YES to win.
ham,I will send the file shortly.
ham,Can we reschedule our meeting?
spam,URGENT! Your account has been suspended. Verify immediately.
ham,Please call me when you are free.
spam,Your loan is approved. Contact us immediately.
ham,I will send the file shortly.
ham,I will send the file shortly.
spam,URGENT! Your account has been suspended. Verify immediately.
spam,Claim your free vacation now! Click here.
spam,Your loan is approved. Contact us immediately.
spam,Your loan is approved. Contact us immediately.
spam,Get rich fast! Join our program now.
spam,Win a free iPhone today! Click the link.
spam,Claim your free vacation now! Click here.
spam,This is your final notice. Pay now to avoid penalty.
spam,Exclusive deal just for you. Act now!
spam,Exclusive deal just for you. Act now!
spam,Claim your free vacation now! Click here.
ham,Let's go for lunch today.
spam,You have been selected for a cash prize! Reply YES to win.
ham,Meeting postponed to 3 PM.
spam,Limited-time offer! Buy now and get 50% off.
ham,Let's go for lunch today.
spam,Get rich fast! Join our program now.
spam,Win a free iPhone today! Click the link.
ham,Did you finish the report?
spam,URGENT! Your account has been suspended. Verify immediately.
ham,I will send the file shortly.
spam,Exclusive deal just for you. Act now!
spam,Claim your free vacation now! Click here.
ham,Please call me when you are free.
spam,This is your final notice. Pay now to avoid penalty.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,Let's catch up tomorrow.
ham,Don't forget to bring the documents.
spam,Your loan is approved. Contact us immediately.
